Property,Value
name,Glasdegib
iupac_name,"1-[(2R,4R)-2-(1H-benzimidazol-2-yl)-1-methylpiperidin-4-yl]-3-(4-cyanophenyl)urea"
smiles,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N
cid,25166913
inchi,"InChI=1S/C21H22N6O/c1-27-11-10-16(24-21(28)23-15-8-6-14(13-22)7-9-15)12-19(27)20-25-17-4-2-3-5-18(17)26-20/h2-9,16,19H,10-12H2,1H3,(H,25,26)(H2,23,24,28)/t16-,19-/m1/s1"
inchikey,SFNSLLSYNZWZQG-VQIMIIECSA-N
mol_weight,374.448
num_H_acceptors,4
num_H_donors,3
logp,3.39
tpsa,96.84
num_rot_bonds,3
saturation,0.29
drug_score_qed,0.65
drug_score_lipinski,1.0
drug_score_custom,0.68
drug_score_total,0.72
