Property,Value
name,(+)-Lysergic acid diethylamide
iupac_name,"(6aR,9R)-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
smiles,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
cid,5761
inchi,"InChI=1S/C20H25N3O/c1-4-23(5-2)20(24)14-9-16-15-7-6-8-17-19(15)13(11-21-17)10-18(16)22(3)12-14/h6-9,11,14,18,21H,4-5,10,12H2,1-3H3/t14-,18-/m1/s1"
inchikey,VAYOSLLFUXYJDT-RDTXWAMCSA-N
mol_weight,323.44
num_H_acceptors,2
num_H_donors,1
logp,2.91
tpsa,39.34
num_rot_bonds,3
saturation,0.45
drug_score_qed,0.94
drug_score_lipinski,1.0
drug_score_custom,0.86
drug_score_total,0.92
