Property,Value
name,Tacrine Hydrochloride
iupac_name,"1,2,3,4-tetrahydroacridin-9-amine;hydrochloride"
smiles,C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl
cid,2723754
inchi,"InChI=1S/C13H14N2.ClH/c14-13-9-5-1-3-7-11(9)15-12-8-4-2-6-10(12)13;/h1,3,5,7H,2,4,6,8H2,(H2,14,15);1H"
inchikey,ZUFVXZVXEJHHBN-UHFFFAOYSA-N
mol_weight,234.73
num_H_acceptors,2
num_H_donors,1
logp,3.12
tpsa,38.91
num_rot_bonds,0
saturation,0.31
drug_score_qed,0.76
drug_score_lipinski,1.0
drug_score_custom,0.69
drug_score_total,0.78
