Property,Value
name,"N,N-Dimethyltryptamine"
iupac_name,"2-(1H-indol-3-yl)-N,N-dimethylethanamine"
smiles,CN(C)CCC1=CNC2=CC=CC=C21
cid,6089
inchi,"InChI=1S/C12H16N2/c1-14(2)8-7-10-9-13-12-6-4-3-5-11(10)12/h3-6,9,13H,7-8H2,1-2H3"
inchikey,DMULVCHRPCFFGV-UHFFFAOYSA-N
mol_weight,188.274
num_H_acceptors,1
num_H_donors,1
logp,2.27
tpsa,19.03
num_rot_bonds,3
saturation,0.33
drug_score_qed,0.78
drug_score_lipinski,1.0
drug_score_custom,0.62
drug_score_total,0.76
