Property,Value
name,Sertindole
iupac_name,1-[2-[4-[5-chloro-1-(4-fluorophenyl)indol-3-yl]piperidin-1-yl]ethyl]imidazolidin-2-one
smiles,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O
cid,60149
inchi,"InChI=1S/C24H26ClFN4O/c25-18-1-6-23-21(15-18)22(16-30(23)20-4-2-19(26)3-5-20)17-7-10-28(11-8-17)13-14-29-12-9-27-24(29)31/h1-6,15-17H,7-14H2,(H,27,31)"
inchikey,GZKLJWGUPQBVJQ-UHFFFAOYSA-N
mol_weight,440.95
num_H_acceptors,2
num_H_donors,1
logp,4.63
tpsa,40.51
num_rot_bonds,5
saturation,0.38
drug_score_qed,0.63
drug_score_lipinski,1.0
drug_score_custom,0.67
drug_score_total,0.7
