Property,Value
name,Blonanserin
iupac_name,"2-(4-ethylpiperazin-1-yl)-4-(4-fluorophenyl)-5,6,7,8,9,10-hexahydrocycloocta[b]pyridine"
smiles,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(C=C4)F
cid,125564
inchi,"InChI=1S/C23H30FN3/c1-2-26-13-15-27(16-14-26)23-17-21(18-9-11-19(24)12-10-18)20-7-5-3-4-6-8-22(20)25-23/h9-12,17H,2-8,13-16H2,1H3"
inchikey,XVGOZDAJGBALKS-UHFFFAOYSA-N
mol_weight,367.512
num_H_acceptors,3
num_H_donors,0
logp,4.69
tpsa,19.37
num_rot_bonds,3
saturation,0.52
drug_score_qed,0.78
drug_score_lipinski,1.0
drug_score_custom,0.75
drug_score_total,0.81
