Property,Value
name,Rucaparib
iupac_name,"6-fluoro-2-[4-(methylaminomethyl)phenyl]-3,10-diazatricyclo[6.4.1.04,13]trideca-1,4,6,8(13)-tetraen-9-one"
smiles,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2
cid,9931954
inchi,"InChI=1S/C19H18FN3O/c1-21-10-11-2-4-12(5-3-11)18-14-6-7-22-19(24)15-8-13(20)9-16(23-18)17(14)15/h2-5,8-9,21,23H,6-7,10H2,1H3,(H,22,24)"
inchikey,HMABYWSNWIZPAG-UHFFFAOYSA-N
mol_weight,323.371
num_H_acceptors,2
num_H_donors,3
logp,2.98
tpsa,56.92
num_rot_bonds,3
saturation,0.21
drug_score_qed,0.69
drug_score_lipinski,1.0
drug_score_custom,0.73
drug_score_total,0.75
