Property,Value
name,Pergolide
iupac_name,"(6aR,9R,10aR)-9-(methylsulfanylmethyl)-7-propyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline"
smiles,CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC
cid,47811
inchi,"InChI=1S/C19H26N2S/c1-3-7-21-11-13(12-22-2)8-16-15-5-4-6-17-19(15)14(10-20-17)9-18(16)21/h4-6,10,13,16,18,20H,3,7-9,11-12H2,1-2H3/t13-,16-,18-/m1/s1"
inchikey,YEHCICAEULNIGD-MZMPZRCHSA-N
mol_weight,314.498
num_H_acceptors,2
num_H_donors,1
logp,4.27
tpsa,19.03
num_rot_bonds,4
saturation,0.58
drug_score_qed,0.91
drug_score_lipinski,1.0
drug_score_custom,0.84
drug_score_total,0.9
