Property,Value
name,Cabergoline
iupac_name,"(6aR,9R,10aR)-N-[3-(dimethylamino)propyl]-N-(ethylcarbamoyl)-7-prop-2-enyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
smiles,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
cid,54746
inchi,"InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/t19-,21-,23-/m1/s1"
inchikey,KORNTPPJEAJQIU-KJXAQDMKSA-N
mol_weight,451.615
num_H_acceptors,4
num_H_donors,2
logp,3.19
tpsa,71.68
num_rot_bonds,8
saturation,0.54
drug_score_qed,0.6
drug_score_lipinski,1.0
drug_score_custom,0.74
drug_score_total,0.71
