Property,Value
name,Vinpocetine
iupac_name,"ethyl (15S,19S)-15-ethyl-1,11-diazapentacyclo[9.6.2.02,7.08,18.015,19]nonadeca-2,4,6,8(18),16-pentaene-17-carboxylate"
smiles,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
cid,443955
inchi,"InChI=1S/C22H26N2O2/c1-3-22-11-7-12-23-13-10-16-15-8-5-6-9-17(15)24(19(16)20(22)23)18(14-22)21(25)26-4-2/h5-6,8-9,14,20H,3-4,7,10-13H2,1-2H3/t20-,22+/m1/s1"
inchikey,DDNCQMVWWZOMLN-IRLDBZIGSA-N
mol_weight,350.462
num_H_acceptors,3
num_H_donors,0
logp,4.15
tpsa,34.47
num_rot_bonds,3
saturation,0.5
drug_score_qed,0.78
drug_score_lipinski,1.0
drug_score_custom,0.8
drug_score_total,0.82
