Property,Value
name,Chloroquine
iupac_name,"4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine"
smiles,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
cid,2719
inchi,"InChI=1S/C18H26ClN3/c1-4-22(5-2)12-6-7-14(3)21-17-10-11-20-18-13-15(19)8-9-16(17)18/h8-11,13-14H,4-7,12H2,1-3H3,(H,20,21)"
inchikey,WHTVZRBIWZFKQO-UHFFFAOYSA-N
mol_weight,319.88
num_H_acceptors,3
num_H_donors,1
logp,4.81
tpsa,28.16
num_rot_bonds,8
saturation,0.5
drug_score_qed,0.76
drug_score_lipinski,1.0
drug_score_custom,0.77
drug_score_total,0.8
