Property,Value
name,Torasemide
iupac_name,1-[[4-(3-methylanilino)-3-pyridinyl]sulfonyl]-3-propan-2-ylurea
smiles,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
cid,41781
inchi,"InChI=1S/C16H20N4O3S/c1-11(2)18-16(21)20-24(22,23)15-10-17-8-7-14(15)19-13-6-4-5-12(3)9-13/h4-11H,1-3H3,(H,17,19)(H2,18,20,21)"
inchikey,NGBFQHCMQULJNZ-UHFFFAOYSA-N
mol_weight,348.428
num_H_acceptors,5
num_H_donors,3
logp,2.53
tpsa,100.19
num_rot_bonds,5
saturation,0.25
drug_score_qed,0.77
drug_score_lipinski,1.0
drug_score_custom,0.67
drug_score_total,0.78
