Property,Value
name,Ergometrine
iupac_name,"(6aR,9R)-N-[(2S)-1-hydroxypropan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
smiles,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
cid,443884
inchi,"InChI=1S/C19H23N3O2/c1-11(10-23)21-19(24)13-6-15-14-4-3-5-16-18(14)12(8-20-16)7-17(15)22(2)9-13/h3-6,8,11,13,17,20,23H,7,9-10H2,1-2H3,(H,21,24)/t11-,13+,17+/m0/s1"
inchikey,WVVSZNPYNCNODU-XTQGRXLLSA-N
mol_weight,325.412
num_H_acceptors,3
num_H_donors,3
logp,1.53
tpsa,68.36
num_rot_bonds,3
saturation,0.42
drug_score_qed,0.8
drug_score_lipinski,1.0
drug_score_custom,0.81
drug_score_total,0.84
