Property,Value
name,Terguride
iupac_name,"3-[(6aR,9S,10aR)-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea"
smiles,CCN(CC)C(=O)NC1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)C
cid,443951
inchi,"InChI=1S/C20H28N4O/c1-4-24(5-2)20(25)22-14-10-16-15-7-6-8-17-19(15)13(11-21-17)9-18(16)23(3)12-14/h6-8,11,14,16,18,21H,4-5,9-10,12H2,1-3H3,(H,22,25)/t14-,16+,18+/m0/s1"
inchikey,JOAHPSVPXZTVEP-YXJHDRRASA-N
mol_weight,340.471
num_H_acceptors,2
num_H_donors,2
logp,2.93
tpsa,51.37
num_rot_bonds,3
saturation,0.55
drug_score_qed,0.9
drug_score_lipinski,1.0
drug_score_custom,0.89
drug_score_total,0.91
