Property,Value
name,Methysergide
iupac_name,"(6aR,9R)-N-[(2S)-1-hydroxybutan-2-yl]-4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide"
smiles,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
cid,9681
inchi,"InChI=1S/C21H27N3O2/c1-4-15(12-25)22-21(26)14-8-17-16-6-5-7-18-20(16)13(10-23(18)2)9-19(17)24(3)11-14/h5-8,10,14-15,19,25H,4,9,11-12H2,1-3H3,(H,22,26)/t14-,15+,19-/m1/s1"
inchikey,KPJZHOPZRAFDTN-ZRGWGRIASA-N
mol_weight,353.466
num_H_acceptors,3
num_H_donors,2
logp,1.94
tpsa,57.5
num_rot_bonds,4
saturation,0.48
drug_score_qed,0.88
drug_score_lipinski,1.0
drug_score_custom,0.89
drug_score_total,0.9
