Property,Value
name,Lisuride
iupac_name,"3-[(6aR,9S)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea"
smiles,CCN(CC)C(=O)NC1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
cid,28864
inchi,"InChI=1S/C20H26N4O/c1-4-24(5-2)20(25)22-14-10-16-15-7-6-8-17-19(15)13(11-21-17)9-18(16)23(3)12-14/h6-8,10-11,14,18,21H,4-5,9,12H2,1-3H3,(H,22,25)/t14-,18+/m0/s1"
inchikey,BKRGVLQUQGGVSM-KBXCAEBGSA-N
mol_weight,338.455
num_H_acceptors,2
num_H_donors,2
logp,2.84
tpsa,51.37
num_rot_bonds,3
saturation,0.45
drug_score_qed,0.9
drug_score_lipinski,1.0
drug_score_custom,0.85
drug_score_total,0.9
