Property,Value
name,Triamterene
iupac_name,"6-phenylpteridine-2,4,7-triamine"
smiles,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N
cid,5546
inchi,"InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19)"
inchikey,FNYLWPVRPXGIIP-UHFFFAOYSA-N
mol_weight,253.269
num_H_acceptors,7
num_H_donors,3
logp,0.83
tpsa,129.62
num_rot_bonds,1
saturation,0.0
drug_score_qed,0.59
drug_score_lipinski,1.0
drug_score_custom,0.49
drug_score_total,0.62
